,name,xP,bps,creativity,ict_index,influence,opponent_team,threat,total_points,was_home
10852,Harvey Barnes,13.3,25,27.2,15.5,45.4,16,82.0,9,1
10853,Harvey Barnes,13.3,16,24.3,5.2,24.0,5,4.0,6,1
10854,Daniel Ceballos Fernández,1.7,0,0.0,0.0,0.0,14,0.0,0,1
10855,Marcus Rashford,8.9,-2,1.4,1.5,0.0,11,14.0,2,0
10856,Marcus Rashford,8.9,4,0.6,0.6,1.4,8,4.0,1,0
10857,Theo Walcott,2.3,5,21.5,3.9,5.0,9,12.0,2,0
10865,Moussa Djenepo,0.0,0,0.0,0.0,0.0,9,0.0,0,0
10866,Andreas Pereira,0.0,0,0.0,0.0,0.0,11,0.0,0,0
10867,Andreas Pereira,0.0,0,0.0,0.0,0.0,8,0.0,0,0
10872,Anwar El Ghazi,7.0,5,1.0,0.5,4.2,12,0.0,1,0
10873,Anwar El Ghazi,7.0,5,0.3,0.5,2.2,14,2.0,1,1
10878,Elliot Anderson,-0.1,3,0.3,0.2,0.0,1,2.0,1,0
10879,Elliot Anderson,-0.1,0,0.0,0.0,0.0,2,0.0,0,0
10883,Andros Townsend,1.8,5,2.7,1.2,9.4,12,0.0,2,0
10885,N'Golo Kanté,0.0,0,0.0,0.0,0.0,8,0.0,0,0
10886,N'Golo Kanté,0.0,0,0.0,0.0,0.0,9,0.0,0,0
10893,Tyler Roberts,0.2,4,1.3,4.9,6.2,3,41.0,1,1
10894,Scott McTominay,3.9,13,0.7,2.1,20.6,11,0.0,3,0
10895,Scott McTominay,3.9,2,0.0,0.0,0.0,8,0.0,1,0
10898,Ferran Torres,6.8,13,1.4,0.3,1.6,6,0.0,4,1
10899,Ferran Torres,6.8,0,0.0,0.0,0.0,2,0.0,0,1
10903,Rolando Aarons,0.0,0,0.0,0.0,0.0,1,0.0,0,0
10904,Rolando Aarons,0.0,0,0.0,0.0,0.0,2,0.0,0,0
10905,Pierre-Emile Højbjerg,3.0,22,23.4,7.1,39.8,15,8.0,5,0
10910,Pierre-Emerick Aubameyang,5.3,37,3.7,12.2,61.2,14,57.0,15,1
