,name,xP,bps,creativity,ict_index,influence,opponent_team,threat,total_points,was_home,GW,Shots on target 
11005,Divock Origi,3.2,-1,2.8,4,6.4,4,31,1,1,,
11019,Dwight Gayle,0.1,0,0,0,0,1,0,0,0,,
11020,Dwight Gayle,0.1,2,0.1,0.2,0,2,4,1,0,,
11025,Liam Delap,2,0,0,0,0,6,0,0,1,,
11026,Liam Delap,2,0,0,0,0,2,0,0,1,,
11040,Aaron Connolly,0.8,0,0,0,0,8,0,0,1,,
11051,Raúl Jiménez,0,0,0,0,0,5,0,0,0,,
11055,Jean-Philippe Mateta,0,0,0,0,0,19,0,0,1,,
11063,Neal Maupay,5.3,2,21.8,8.4,6.4,8,56,2,1,,
11064,Moise Kean,0,0,0,0,0,9,0,0,1,,
11082,Niall Huggins,0,0,0,0,0,14,0,0,0,,
11083,Shane Long,-0.2,0,0,0,0,1,0,0,1,,
11090,Jamie Vardy,0,0,0,0,0,7,0,0,0,,
11094,Léo Bonatini,0,0,0,0,0,5,0,0,0,,
11103,Kelechi Iheanacho,1,0,0,0,0,7,0,0,0,,
11110,Gabriel Fernando de Jesus,3.1,3,14.1,2.3,2.8,18,6,1,0,,
11115,Kenneth Zohore,0,0,0,0,0,12,0,0,1,,
11130,Richarlison de Andrade,1.2,-3,0.9,3.4,8.6,9,24,2,1,,
11132,Danny Welbeck,0,0,0,0,0,8,0,0,1,,
11133,Edward Nketiah,0.7,0,0,0,0,16,0,0,0,,
11135,Timo Werner,1.5,0,0,0,0,20,0,0,1,,
11140,Ollie Watkins,4.5,25,22.7,16.8,47.2,4,98,6,0,,
11143,Roberto Firmino,3.3,33,38,13.4,42.4,17,54,7,0,,
11215,Che Adams,0.8,7,12.5,5.7,11.4,1,33,2,1,,
11216,Hal Robson-Kanu,-1,-4,0.3,0,0,12,0,0,1,,
11217,Andi Zeqiri,0.7,0,0,0,0,8,0,0,1,,
11220,Carlos Vinicius Alves Morais,0.3,0,0,0,0,11,0,0,1,,
11228,Christian Benteke,2.8,14,16.6,3.7,16.8,19,4,5,1,,
11242,Cheikh Diaby,-1.5,0,0,0,0,12,0,0,1,,
11271,Charlie Austin,0,0,0,0,0,12,0,0,1,,
11274,Ashley Barnes,1.5,0,0,0,0,2,0,0,1,,
11304,Albian Ajeti,0,0,0,0,0,6,0,0,0,,
11317,Danny Ings,3.2,12,16.8,8.2,12,1,53,2,1,,
11325,Bobby Decordova-Reid,0.7,13,12.5,4,14.6,3,13,2,0,,
11333,Michy Batshuayi,1.8,25,0.1,5,33,19,17,6,1,,
11334,Ademipo Odubeko,0,0,0,0,0,6,0,0,0,,
11353,Harry Kane,7,-1,0.1,0,0,11,2,1,1,,
11359,Edinson Cavani,2.7,1,0.3,0.7,1,15,6,1,1,,
11371,Florin Andone,0,0,0,0,0,8,0,0,1,,
11380,Fabio Silva,2,0,0,0,0,5,0,0,0,,
11387,Chris Wood,3,32,2.5,7.7,40.4,2,34,8,1,,
11402,Connor Wickham,0,0,0,0,0,19,0,0,1,,
11405,Glenn Murray,0,0,0,0,0,8,0,0,1,,
11415,Patrick Cutrone,0.2,0,0,0,0,5,0,0,0,,
11418,Mbwana Samatta,0,0,0,0,0,4,0,0,0,,
11424,Lys Mousset,0,0,0,0,0,13,0,0,0,,
11432,Joel Mumbongo,-0.5,0,0,0,0,2,0,0,1,,
11439,Max Thompson,-0.5,0,0,0,0,2,0,0,1,,
11444,Michael Obafemi,-0.1,0,0,0,0,1,0,0,1,,
11445,Dominic Calvert-Lewin,0.8,5,4.5,4.9,5.6,9,39,2,1,,
11455,David McGoldrick,2.5,2,5.8,1,0.2,13,4,2,0,,
11467,Yoshinori Muto,0,0,0,0,0,10,0,0,1,,
11468,Antwoine Hackford,-0.3,0,0,0,0,13,0,0,0,,
11472,Daniel N'Lundulu,0.5,2,0.5,0.4,1.2,1,2,1,1,,
