,name,xP,bps,creativity,ict_index,influence,opponent_team,threat,total_points,was_home,GW,Shots on target 
13287,Danny Ings,1.6,-4,12.3,9.2,11.4,14,68,2,0,,
13295,Bobby Decordova-Reid,1.6,10,13.8,5,12,19,24,2,1,,
13303,Michy Batshuayi,2,3,10.6,1.7,4.2,10,2,1,0,,
13304,Ademipo Odubeko,0.5,0,0,0,0,8,0,0,0,,
13323,Harry Kane,0,28,26.5,13.1,40.2,18,64,8,1,,
13329,Edinson Cavani,3.2,37,27.6,11.5,40.2,7,47,8,1,,
13341,Florin Andone,0,0,0,0,0,4,0,0,0,,
13350,Fabio Silva,1.3,0,1.3,2.3,4.4,9,17,1,1,,
13357,Chris Wood,0.4,0,0,0,0,3,0,0,1,,
13373,Connor Wickham,0,0,0,0,0,10,0,0,0,,
13376,Glenn Murray,0,0,0,0,0,4,0,0,0,,
13387,Patrick Cutrone,0,0,0,0,0,9,0,0,1,,
13390,Mbwana Samatta,0,0,0,0,0,1,0,0,1,,
13397,Lys Mousset,-0.5,0,0,0,0,5,0,0,1,,
13405,Joel Mumbongo,-0.4,0,0,0,0,3,0,0,1,,
13412,Max Thompson,-0.5,0,0,0,0,3,0,0,1,,
13417,Michael Obafemi,0,0,0,0,0,14,0,0,0,,
13418,Dominic Calvert-Lewin,4.5,39,14.3,9.1,37.6,13,39,12,0,,
13428,David McGoldrick,1.7,5,11,2.8,8.4,5,9,1,1,,
13440,Yoshinori Muto,0,0,0,0,0,16,0,0,1,,
13441,Antwoine Hackford,-0.5,0,0,0,0,5,0,0,1,,
13446,Daniel N'Lundulu,0.6,3,0,0.2,0,14,2,1,0,,
13447,Aleksandar Mitrović,1.2,3,11.8,2.6,0,19,14,1,1,,
13449,Anthony Martial,3.6,0,0,0,0,7,0,0,1,,
13463,Jay Rodriguez,0.5,0,0,0,0,3,0,0,1,,
13475,Joelinton Cássio Apolinário de Lira,0.4,4,0.5,0.9,6.4,16,2,1,1,,
13481,Ellis Simms,0,0,0,0,0,13,0,0,0,,
13488,Patrick Bamford,5.8,27,2,10.4,39.4,6,63,6,1,,
13489,Karlan Grant,0.2,6,0.8,0.6,3.2,17,2,2,0,,
13491,Callum Robinson,1.5,0,0,0,0,17,0,0,0,,
13500,Oliver McBurnie,0.2,9,33.8,4.8,10.4,5,4,2,1,,
13502,Sergio Agüero,0,0,0,0,0,11,0,0,0,,
13523,Jordan Ayew,2.5,2,15.2,6.4,6,10,43,2,0,,
13532,Michail Antonio,6.3,1,0.7,0.1,0,8,2,2,0,,
13533,Callum Wilson,4.3,1,0.2,2.4,3.2,16,21,1,1,,
13538,Leonardo Campana,-0.5,0,0,0,0,9,0,0,1,,
13541,Keinan Davis,-0.3,0,0,0,0,1,0,0,1,,
13542,Odion Ighalo,0,0,0,0,0,7,0,0,1,,
13550,Olivier Giroud,1.5,5,3,0.7,1.8,15,2,2,0,,
13555,Josh Maja,1.2,2,0.8,0.3,0,19,4,1,1,,
13559,Rhian Brewster,0.5,3,0.3,3.7,0.2,5,36,1,1,,
13570,Andy Carroll,0.7,0,0,0,0,16,0,0,1,,
13583,Willian José Da Silva,2,6,1,0.4,1.4,9,2,2,1,,
13584,Joe Gelhardt,1.1,0,0,0,0,6,0,0,1,,
13587,Indiana Vassilev,0,0,0,0,0,1,0,0,1,,
13589,Wesley Moraes,0,0,0,0,0,1,0,0,1,,
13590,Sébastien Haller,0,0,0,0,0,8,0,0,0,,
13591,Matej Vydra,0.6,9,32.2,8.9,9.4,3,47,2,1,,
13593,Billy Sharp,2.7,2,0.8,2.6,4.4,5,21,1,1,,
13597,Rodrigo Moreno,0,0,0,0,0,6,0,0,1,,
13603,Islam Slimani,0,0,0,0,0,20,0,0,0,,
13611,Jordan Hugill,0,0,0,0,0,8,0,0,0,,
13612,Alexandre Lacazette,4.2,2,16.6,2,3.8,2,0,1,0,,
13618,Tammy Abraham,1.3,0,0,0,0,15,0,0,0,,
13622,Lewis Richardson,-0.5,0,0,0,0,3,0,0,1,,
13628,Cenk Tosun,0,0,0,0,0,13,0,0,0,,
13630,Mbaye Diagne,2.7,0,1,3.1,7,17,23,2,0,,
13635,Divock Origi,1,0,0,0,0,12,0,0,1,,
13651,Dwight Gayle,0.4,0,0,0,0,16,0,0,1,,
13654,Liam Delap,0,0,0,0,0,11,0,0,0,,
